Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Display Technology,Screen Size,size_inch,Max. Resolution,COVID-19 Safety
https://www.gumtree.com.au/s-ad/gillieston-heights/tvs/bulk-lg-tv-60-inch-plasma-boards/1263045508,700.0,Gillieston Heights,2020-12-06,2020-12-06,LG,Used,Plasma,50-60 in,60.0,,
https://www.gumtree.com.au/s-ad/northfield/tvs/lg-60-inch-smart-tv/1263045138,700.0,Northfield,2020-12-06,2020-12-06,LG,Used,LED,50-60 in,60.0,,Contactless trade
https://www.gumtree.com.au/s-ad/butler/tvs/hisense-43-4k-hdr-10/1263045103,300.0,Butler,2020-12-06,2020-12-06,,Used,,,43.0,,
https://www.gumtree.com.au/s-ad/campsie/tvs/42-inches-samsung-tv/1263044976,1.0,Campsie,2020-12-06,2020-12-06,Samsung,Used,,,42.0,,
https://www.gumtree.com.au/s-ad/kippa-ring/tvs/-brand-new-hisense-55-fhd-led-smart-tv-series-4-55n4/1263044225,420.0,Kippa-ring,2020-12-06,2020-12-06,,Used,,,55.0,,
https://www.gumtree.com.au/s-ad/doncaster-east/tvs/samsung-tv-65-inch-the-frame-plus-studio-stand-and-frame/1263044068,1700.0,Doncaster East,2020-12-06,2020-12-06,Samsung,Used,,,65.0,,
https://www.gumtree.com.au/s-ad/ascot-park/tvs/sanyo-60-inch-television/1263043857,130.0,Ascot Park,2020-12-06,2020-12-06,Other,Used,Plasma,50-60 in,60.0,Other,
https://www.gumtree.com.au/s-ad/hurstville-grove/tvs/great-quality-sony-52-inch-lcd-tv-made-in-japan-near-new-condition-/1263043811,150.0,Hurstville Grove,2020-12-06,2020-12-06,Sony,Used,LCD,50-60 in,52.0,1080p,
https://www.gumtree.com.au/s-ad/macquarie-park/tvs/samsung-series-9-65-4k-quantum-dot-suhd-smart-tv-/1263043768,1500.0,Macquarie Park,2020-12-06,2020-12-06,Samsung,Used,QLED,Other,65.0,2160p (4K),
https://www.gumtree.com.au/s-ad/belconnen/tvs/samsung-hd-40-inch-tv/1263043659,165.0,Belconnen,2020-12-06,2020-12-06,,New,,,40.0,,
https://www.gumtree.com.au/s-ad/caulfield/tvs/tcl-4k-55inch-smart-tv/1263043654,450.0,Caulfield,2020-12-06,2020-12-06,,Used,,,55.0,,
https://www.gumtree.com.au/s-ad/belconnen/tvs/samsung-40-hd-tv-and-stand-bracket/1263043602,250.0,Belconnen,2020-12-06,2020-12-06,,New,,,40.0,,
https://www.gumtree.com.au/s-ad/st-agnes/tvs/panasonic-viera-th-l42u20a-42-1080p-full-hd-lcd-television/1263043345,80.0,St Agnes,2020-12-06,2020-12-06,LG,Used,LCD,40-49 in,,1080p,
