Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Screen Size,COVID-19 Safety,Display Technology,Max. Resolution
https://www.gumtree.com.au/s-ad/north-lakes/tvs/sanyo-40-lcd-tv-remote-control/1255826486,130.0,North Lakes,2020-08-31,2020-08-31,Other,Used,40-49 in,,LCD,
https://www.gumtree.com.au/s-ad/collaroy/tvs/hisense-p9-65-inch-uled-4k-smart-tv/1255826089,2100.0,Collaroy,2020-08-31,2020-08-31,Hisense,Used,Other,,OLED,2160p (4K)
https://www.gumtree.com.au/s-ad/doncaster/tvs/samsung-32-flat-screen-tv/1255826042,50.0,Doncaster,2020-08-31,2020-08-31,Samsung,Used,,,,
https://www.gumtree.com.au/s-ad/hillside/tvs/60-152cm-full-hd-plasma-tv/1255825752,300.0,Hillside,2020-08-31,2020-08-31,LG,Used,50-60 in,Contactless trade,Plasma,1080p
https://www.gumtree.com.au/s-ad/killarney-vale/tvs/soniq-24-tv-dvd-combo/1255825226,80.0,Killarney Vale,2020-08-31,2020-08-31,SONIQ,Used,20-29 in,,LED LCD,Other
https://www.gumtree.com.au/s-ad/mount-gravatt-east/tvs/panasonic-viera-plasma-40inch-tv/1255825143,120.0,Mount Gravatt East,2020-08-31,2020-08-31,Panasonic,Used,40-49 in,,Plasma,
https://www.gumtree.com.au/s-ad/highgate-hill/tvs/32-samsung-hd-lcd-digital-tv-remote-fully-working-delivery/1255825031,150.0,Highgate Hill,2020-08-31,2020-08-31,Samsung,Used,30-39 in,,LCD,1080i
https://www.gumtree.com.au/s-ad/lewisham/tvs/lg-tv/1255824831,150.0,Lewisham,2020-08-31,2020-08-31,LG,Used,,,,
https://www.gumtree.com.au/s-ad/springvale/tvs/satellite-dish-foxtel-dish-installation/1255824774,450.0,Springvale,2020-08-31,2020-08-31,,New,,,,
https://www.gumtree.com.au/s-ad/australind/tvs/panasonic-65-inch-plasma-tv/1255824759,150.0,Australind,2020-08-31,2020-08-31,Panasonic,Used,Other,,Plasma,
https://www.gumtree.com.au/s-ad/west-lakes/tvs/xbox-and-tv/1255824710,125.0,West Lakes,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/hampton-park/tvs/digital-tv-antenna-data-wall-mount-bracket-foxtel-dish-install/1255824607,190.0,Hampton Park,2020-08-31,2020-08-31,,New,,,,
https://www.gumtree.com.au/s-ad/canberra-city/tvs/40inch-led-hisense-tv-with-dvb-tv-tuner-built-in-/1255824580,250.0,Canberra City,2020-08-31,2020-08-31,Hisense,Used,40-49 in,,LED,1080p
https://www.gumtree.com.au/s-ad/highgate-hill/tvs/42-full-hd-led-lcd-soniq-tv-remote-fully-working-delivery/1255824554,300.0,Highgate Hill,2020-08-31,2020-08-31,SONIQ,Used,40-49 in,,LED LCD,1080p
https://www.gumtree.com.au/s-ad/keysborough/tvs/2015-lg-smart-tv-negotiable/1255824529,400.0,Keysborough,2020-08-31,2020-08-31,LG,Used,50-60 in,,LED,2160p (4K)
https://www.gumtree.com.au/s-ad/ulladulla/tvs/panasonic-50inch-t-v/1255824495,250.0,Ulladulla,2020-08-31,2020-08-31,Panasonic,Used,50-60 in,,Plasma,Other
https://www.gumtree.com.au/s-ad/rowville/tvs/digital-tv-antenna-data-wall-mount-bracket-foxtel-dish-install/1255824454,190.0,Rowville,2020-08-31,2020-08-31,,New,,,,
https://www.gumtree.com.au/s-ad/narre-warren/tvs/sony-42-inch-lcd-tv/1255824460,70.0,Narre Warren,2020-08-31,2020-08-31,Sony,Used,40-49 in,,LCD,
https://www.gumtree.com.au/s-ad/highgate-hill/tvs/32-hd-lcd-haier-tv-remote-fully-working-delivery/1255824339,130.0,Highgate Hill,2020-08-31,2020-08-31,Other,Used,30-39 in,,LCD,1080i
https://www.gumtree.com.au/s-ad/collaroy/tvs/tv-bravia/1255824045,80.0,Collaroy,2020-08-31,2020-08-31,,Used,30-39 in,,LCD,
https://www.gumtree.com.au/s-ad/waterways/tvs/42-panasonic-plasma-tv-plus-tv-unit-ikea-/1255823926,200.0,Waterways,2020-08-31,2020-08-31,Panasonic,Used,,Contactless trade,Plasma,
